timestamp,PV_Ost,Wind_Ost,PV_Sued,Wind_Sued,PV_Mitte,Wind_Mitte,PV_Main,Wind_Main,PV_Nord,Wind_Nord,power_sum,date
2024-04-14 00:00:00,0.0,156.6958794346025,0.0,18.30257735272106,0.0,6.782783252663322,0.0,13.56924709724827,0.0,227.919,423.26948713723516,2024-04-14
2024-04-14 01:00:00,0.0,204.14518375280664,0.0,0.0,0.0,0.0,0.0,9.43385115643466,0.0,227.83261532523133,441.41165023447263,2024-04-14
2024-04-14 02:00:00,0.0,215.373,0.0,5.62826695433765,0.0,0.0,0.0,20.649061628710935,0.0,227.919,469.56932858304856,2024-04-14
2024-04-14 03:00:00,0.0,215.373,0.0,0.0,0.0,0.0,0.0,20.649061628710935,0.0,227.919,463.94106162871094,2024-04-14
2024-04-14 04:00:00,0.0,210.186461661122,0.0,0.0,0.0,19.468585386532666,0.0,34.63847378683933,0.0,212.24748460804815,476.5410054425421,2024-04-14
2024-04-14 05:00:00,1.8190719702644045,200.56413683145834,1.3096423815027625,0.0,1.5307333849796019,122.05997472964823,1.587343916087366,24.039193336102763,2.1641264639407254,227.919,582.9932230139842,2024-04-14
2024-04-14 06:00:00,9.285497037162656,207.72623067415483,6.323669469139146,0.0,8.845947124682175,40.86966556069236,8.287528377927243,24.039193336102763,9.176193756197122,195.18248686680047,509.7364122028587,2024-04-14
2024-04-14 07:00:00,20.52448328772109,212.47833169078484,15.110359200762321,0.0,20.01440283541122,10.077068280737024,18.876462712365054,4.020457926688134,28.718054948074553,227.919,557.7386208825443,2024-04-14
2024-04-14 08:00:00,30.1553277272675,215.373,33.42444416607522,5.62826695433765,31.308699635651973,37.00018790866928,30.993196479760886,107.64560824645979,35.00539313391078,227.919,754.4531242521331,2024-04-14
2024-04-14 09:00:00,27.898604691294203,215.373,35.57682631436216,18.30257735272106,49.83291060665527,143.00400647429743,40.24550775051084,183.93825824422348,55.850528306494056,227.919,997.9412197405584,2024-04-14
2024-04-14 10:00:00,38.564950188610055,214.71840293752769,44.475007431832424,72.53220065966622,63.84727943728135,168.32251160990137,41.209190034779404,179.57678277843436,54.7829830990785,227.919,1105.9483081771114,2024-04-14
2024-04-14 11:00:00,59.36259764989639,215.29137044494337,53.284868440820766,107.14142809306111,64.83553279794664,196.554,50.19959873757336,184.008,52.2555130217344,227.919,1210.8519091859762,2024-04-14
2024-04-14 12:00:00,72.13314098325414,215.373,43.92119033435108,154.59538187105744,64.5151785627311,196.554,57.22771613216036,184.008,83.6524901111835,227.919,1299.8990979947378,2024-04-14
2024-04-14 13:00:00,59.087116469831855,215.373,48.30687820691045,160.90592108622545,50.37965989803681,196.554,46.10909269636671,184.008,25.635577029181764,227.919,1214.278245386553,2024-04-14
2024-04-14 14:00:00,59.07221229555619,215.373,37.080376511011,163.03618344374357,41.116653624636136,196.554,32.96730087049574,184.008,33.81123378207139,227.919,1190.9379605275142,2024-04-14
2024-04-14 15:00:00,38.21302869767634,214.71840293752769,35.578802309141544,163.03618344374357,23.03540567715229,183.03911516657365,23.2585757056105,174.41530262375713,32.234077677257396,227.919,1115.44789423844,2024-04-14
2024-04-14 16:00:00,16.980167244130076,204.14518375280664,18.835668720078445,159.1703301899759,12.506992452411668,67.36570076530803,16.673971618713328,48.05523000888386,20.329483909915943,227.919,791.9817286622239,2024-04-14
2024-04-14 17:00:00,6.220150288099369,164.144457031007,7.307866035913647,101.28380881821877,6.634741180594933,56.64620186443331,7.05812245773564,27.490349079799017,8.973324906666079,227.919,613.6780216624677,2024-04-14
2024-04-14 18:00:00,1.5834766976351584,44.78271864629057,1.3096423815027625,55.899198507383275,1.3572657408301358,19.468585386532666,1.9644635722541441,13.56924709724827,2.0894748904884985,195.18248686680047,337.20655978696595,2024-04-14
2024-04-14 19:00:00,0.0,18.49640971928009,0.0,38.21204140393506,0.0,22.056952194304866,0.0,7.891845398612927,0.0,71.90051801405217,158.5577667301851,2024-04-14
2024-04-14 20:00:00,0.0,0.0,0.0,24.366445775276404,0.0,33.13071025664621,0.0,5.072938047106139,0.0,71.90051801405217,134.47061209308092,2024-04-14
2024-04-14 21:00:00,0.0,0.0,0.0,10.183221872568526,0.0,33.13071025664621,0.0,0.0,0.0,59.52295535191296,102.83688748112769,2024-04-14
2024-04-14 22:00:00,0.0,0.0,0.0,0.0,0.0,29.36469106251259,0.0,0.0,0.0,22.575274543958095,51.939965606470686,2024-04-14
2024-04-14 23:00:00,0.0,0.0,0.0,14.006989884503373,0.0,12.272087897710787,0.0,0.0,0.0,19.573870479626507,45.852948261840666,2024-04-14
