Datum (MEZ),Bremen,Dresden-Klotzsche,Gießen/Wettenberg,Saarbrücken-Ensheim,Würzburg
,Globalstrahlung (W/m²),Globalstrahlung (W/m²),Globalstrahlung (W/m²),Globalstrahlung (W/m²),Globalstrahlung (W/m²)
2024-01-25T18:00+01:00,0,0,0,0,0
2024-01-25T19:00+01:00,0,0,0,0,0
2024-01-25T20:00+01:00,0,0,0,0,0
2024-01-25T21:00+01:00,0,0,0,0,0
2024-01-25T22:00+01:00,0,0,0,0,0
2024-01-25T23:00+01:00,0,0,0,0,0
2024-01-26T00:00+01:00,0,0,0,0,0
2024-01-26T01:00+01:00,0,0,0,0,0
2024-01-26T02:00+01:00,0,0,0,0,0
2024-01-26T03:00+01:00,0,0,0,0,0
2024-01-26T04:00+01:00,0,0,0,0,0
2024-01-26T05:00+01:00,0,0,0,0,0
2024-01-26T06:00+01:00,0,0,0,0,0
2024-01-26T07:00+01:00,0,0,0,0,0
2024-01-26T08:00+01:00,0,5,0,0,2
2024-01-26T09:00+01:00,2,33,13,8,25
2024-01-26T10:00+01:00,11,66,13,19,72
2024-01-26T11:00+01:00,38,113,41,25,75
2024-01-26T12:00+01:00,72,186,77,27,55
2024-01-26T13:00+01:00,91,130,152,47,94
2024-01-26T14:00+01:00,83,50,125,47,58
2024-01-26T15:00+01:00,50,19,158,125,33
2024-01-26T16:00+01:00,16,38,91,105,13
2024-01-26T17:00+01:00,2,2,5,8,2
2024-01-26T18:00+01:00,0,0,0,0,0
2024-01-26T19:00+01:00,0,0,0,0,0
2024-01-26T20:00+01:00,0,0,0,0,0
2024-01-26T21:00+01:00,0,0,0,0,0
2024-01-26T22:00+01:00,0,0,0,0,0
2024-01-26T23:00+01:00,0,0,0,0,0
2024-01-27T00:00+01:00,0,0,0,0,0
2024-01-27T01:00+01:00,0,0,0,0,0
2024-01-27T02:00+01:00,0,0,0,0,0
2024-01-27T03:00+01:00,0,0,0,0,0
2024-01-27T04:00+01:00,0,0,0,0,0
2024-01-27T05:00+01:00,0,0,0,0,0
2024-01-27T06:00+01:00,0,0,0,0,0
2024-01-27T07:00+01:00,0,0,0,0,0
2024-01-27T08:00+01:00,2,2,5,11,11
2024-01-27T09:00+01:00,66,33,83,108,91
2024-01-27T10:00+01:00,163,55,197,225,205
2024-01-27T11:00+01:00,247,94,286,319,294
2024-01-27T12:00+01:00,288,138,336,377,338
2024-01-27T13:00+01:00,288,308,347,391,336
2024-01-27T14:00+01:00,247,280,305,333,288
2024-01-27T15:00+01:00,166,197,219,227,202
2024-01-27T16:00+01:00,50,86,91,125,91
2024-01-27T17:00+01:00,2,8,5,11,11
2024-01-27T18:00+01:00,0,0,0,0,0
2024-01-27T19:00+01:00,0,0,0,0,0
2024-01-27T20:00+01:00,0,0,0,0,0
2024-01-27T21:00+01:00,0,0,0,0,0
2024-01-27T22:00+01:00,0,0,0,0,0
2024-01-27T23:00+01:00,0,0,0,0,0
2024-01-28T00:00+01:00,0,0,0,0,0
2024-01-28T01:00+01:00,0,0,0,0,0
2024-01-28T02:00+01:00,0,0,0,0,0
2024-01-28T03:00+01:00,0,0,0,0,0
2024-01-28T04:00+01:00,0,0,0,0,0
2024-01-28T05:00+01:00,0,0,0,0,0
2024-01-28T06:00+01:00,0,0,0,0,0
2024-01-28T07:00+01:00,0,0,0,0,0
2024-01-28T08:00+01:00,5,13,5,11,16
2024-01-28T09:00+01:00,80,113,88,83,122
2024-01-28T10:00+01:00,172,222,208,225,216
2024-01-28T11:00+01:00,266,305,294,327,297
2024-01-28T12:00+01:00,308,352,341,388,338
2024-01-28T13:00+01:00,297,350,352,386,336
2024-01-28T14:00+01:00,238,305,313,336,288
2024-01-28T15:00+01:00,183,213,230,211,208
2024-01-28T16:00+01:00,72,97,113,88,97
2024-01-28T17:00+01:00,5,8,5,11,11
2024-01-28T18:00+01:00,0,0,0,0,0
2024-01-28T19:00+01:00,0,0,0,0,0
2024-01-28T20:00+01:00,0,0,0,0,0
2024-01-28T21:00+01:00,0,0,0,0,0
2024-01-28T22:00+01:00,0,0,0,0,0
2024-01-28T23:00+01:00,0,0,0,0,0
2024-01-29T00:00+01:00,0,0,0,0,0
2024-01-29T01:00+01:00,0,0,0,0,0
2024-01-29T02:00+01:00,0,0,0,0,0
2024-01-29T03:00+01:00,0,0,0,0,0
2024-01-29T04:00+01:00,0,0,0,0,0
2024-01-29T05:00+01:00,0,0,0,0,0
2024-01-29T06:00+01:00,0,0,0,0,0
2024-01-29T07:00+01:00,0,0,0,0,0
2024-01-29T08:00+01:00,5,11,5,8,19
2024-01-29T09:00+01:00,66,105,97,91,94
2024-01-29T10:00+01:00,141,219,138,186,197
2024-01-29T11:00+01:00,236,288,286,283,280
2024-01-29T12:00+01:00,291,344,341,369,311
2024-01-29T13:00+01:00,288,352,333,358,327
2024-01-29T14:00+01:00,216,291,302,277,269
2024-01-29T15:00+01:00,122,147,205,133,169
2024-01-29T16:00+01:00,36,61,50,72,77
2024-01-29T17:00+01:00,2,8,5,11,11
2024-01-29T18:00+01:00,0,0,0,0,0
2024-01-29T19:00+01:00,0,0,0,0,0
2024-01-29T20:00+01:00,0,0,0,0,0
2024-01-29T21:00+01:00,0,0,0,0,0
2024-01-29T22:00+01:00,0,0,0,0,0
2024-01-29T23:00+01:00,0,0,0,0,0
2024-01-30T00:00+01:00,0,0,0,0,0
2024-01-30T01:00+01:00,0,0,0,0,0
2024-01-30T02:00+01:00,0,0,0,0,0
2024-01-30T03:00+01:00,0,0,0,0,0
2024-01-30T04:00+01:00,0,0,0,0,0
2024-01-30T05:00+01:00,0,0,0,0,0
2024-01-30T06:00+01:00,0,0,0,0,0
2024-01-30T07:00+01:00,0,0,0,0,0
2024-01-30T08:00+01:00,2,19,2,5,11
2024-01-30T09:00+01:00,41,102,61,66,58
2024-01-30T10:00+01:00,86,216,111,138,150
2024-01-30T11:00+01:00,100,258,152,125,213
2024-01-30T12:00+01:00,144,325,180,197,205
2024-01-30T13:00+01:00,66,208,150,219,233
2024-01-30T14:00+01:00,55,172,136,133,202
2024-01-30T15:00+01:00,38,169,69,52,119
2024-01-30T16:00+01:00,50,69,27,41,41
2024-01-30T17:00+01:00,2,8,2,27,5
2024-01-30T18:00+01:00,0,0,0,0,0
2024-01-30T19:00+01:00,0,0,0,0,0
2024-01-30T20:00+01:00,0,0,0,0,0
2024-01-30T21:00+01:00,0,0,0,0,0
2024-01-30T22:00+01:00,0,0,0,0,0
2024-01-30T23:00+01:00,0,0,0,0,0
2024-01-31T00:00+01:00,0,0,0,0,0
2024-01-31T01:00+01:00,0,0,0,0,0
2024-01-31T02:00+01:00,0,0,0,0,0
2024-01-31T03:00+01:00,0,0,0,0,0
2024-01-31T04:00+01:00,0,0,0,0,0
2024-01-31T05:00+01:00,0,0,0,0,0
2024-01-31T06:00+01:00,0,0,0,0,0
2024-01-31T07:00+01:00,0,0,0,0,0
2024-01-31T08:00+01:00,2,5,0,2,5
2024-01-31T09:00+01:00,36,33,13,61,69
2024-01-31T10:00+01:00,69,38,50,127,133
2024-01-31T11:00+01:00,80,41,52,208,169
2024-01-31T12:00+01:00,88,36,41,250,197
2024-01-31T13:00+01:00,125,55,50,169,166
2024-01-31T14:00+01:00,86,61,44,161,144
2024-01-31T15:00+01:00,50,58,38,91,116
2024-01-31T16:00+01:00,36,27,19,38,30
2024-01-31T17:00+01:00,2,2,2,8,2
2024-01-31T18:00+01:00,0,0,0,0,0
2024-01-31T19:00+01:00,0,0,0,0,0
2024-01-31T20:00+01:00,0,0,0,0,0
2024-01-31T21:00+01:00,0,0,0,0,0
2024-01-31T22:00+01:00,0,0,0,0,0
2024-01-31T23:00+01:00,0,0,0,0,0
2024-02-01T00:00+01:00,0,0,0,0,0
